customer_id,total_orders,total_revenue,avg_unit_price,avg_quantity,cumulative_revenue,cumulative_revenue_pct,cumulative_customer_pct,segment
CUST_0476,4018,15169133.88,149.18,25.55,15169133.88,5.108015754001057,0.2,Tier 1 – Top
CUST_0391,3030,10860364.85,146.92,24.51,26029498.73,8.76510752910505,0.4,Tier 1 – Top
CUST_0262,2840,10139896.47,143.71,24.86,36169395.2,12.179590605227766,0.6,Tier 1 – Top
CUST_0442,2136,7767116.23,147.18,24.71,43936511.43000001,14.795069668162725,0.8,Tier 1 – Top
CUST_0070,2066,7639623.35,146.41,25.3,51576134.78000001,17.367617101334588,1.0,Tier 1 – Top
CUST_0500,1982,7582052.56,149.09,25.46,59158187.34000001,19.920778292377094,1.2,Tier 1 – Top
CUST_0447,1974,7241014.55,146.57,25.2,66399201.89000001,22.359099207002107,1.4000000000000001,Tier 1 – Top
CUST_0155,1974,7189103.77,145.17,25.28,73588305.66000001,24.779939816941297,1.6,Tier 1 – Top
CUST_0306,1172,4330358.83,145.26,24.85,77918664.49000001,26.238133890452737,1.7999999999999998,Tier 1 – Top
CUST_0499,1074,3899066.49,146.39,24.69,81817730.98,27.551095672870435,2.0,Tier 1 – Top
CUST_0140,989,3818744.45,149.3,25.77,85636475.43,28.83701001481071,2.1999999999999997,Tier 1 – Top
CUST_0227,1058,3802871.93,147.68,24.51,89439347.36000001,30.117579484535007,2.4,Tier 1 – Top
CUST_0472,956,3647064.88,154.21,25.0,93086412.24000001,31.34568288254549,2.6,Tier 1 – Top
CUST_0479,930,3549038.01,148.57,25.44,96635450.25000001,32.540776960430215,2.8000000000000003,Tier 1 – Top
CUST_0012,912,3508007.54,151.24,25.69,100143457.79000002,33.72205454168356,3.0,Tier 1 – Top
CUST_0248,923,3483091.94,151.11,24.82,103626549.73000002,34.894942106847175,3.2,Tier 1 – Top
CUST_0051,908,3338035.59,146.97,24.58,106964585.32000002,36.01898376380802,3.4000000000000004,Tier 1 – Top
CUST_0035,832,3156245.81,152.83,24.94,110120831.13000003,37.08180999030975,3.5999999999999996,Tier 1 – Top
CUST_0141,784,2983842.23,150.14,25.62,113104673.36000003,38.08658147158655,3.8,Tier 1 – Top
CUST_0249,788,2966893.14,146.54,25.34,116071566.50000003,39.085645559190056,4.0,Tier 1 – Top
CUST_0470,773,2858562.17,150.11,24.57,118930128.67000003,40.048230550110546,4.2,Tier 1 – Top
CUST_0314,756,2837551.02,144.49,25.75,121767679.69000003,41.00374029955326,4.3999999999999995,Tier 1 – Top
CUST_0367,728,2766905.28,149.19,25.36,124534584.97000003,41.935460981292586,4.6,Tier 1 – Top
CUST_0465,709,2697903.07,151.51,24.99,127232488.04000002,42.843946033461414,4.8,Tier 1 – Top
CUST_0413,584,2453886.05,162.62,25.64,129686374.09000002,43.670261411852906,5.0,Tier 1 – Top
CUST_0325,636,2445635.41,150.55,25.06,132132009.50000001,44.493798490610814,5.2,Tier 1 – Top
CUST_0242,597,2222808.96,144.08,25.95,134354818.46,45.2423015545059,5.4,Tier 1 – Top
CUST_0412,592,2177489.64,148.04,24.91,136532308.1,45.97554390527444,5.6000000000000005,Tier 1 – Top
CUST_0135,563,2108584.79,146.97,25.65,138640892.89,46.685583411232514,5.800000000000001,Tier 1 – Top
CUST_0489,558,2089941.32,152.42,24.57,140730834.20999998,47.38934496228408,6.0,Tier 1 – Top
CUST_0446,542,2024615.64,147.21,25.25,142755449.84999996,48.071108909173105,6.2,Tier 1 – Top
CUST_0034,556,2011593.33,144.79,24.75,144767043.17999998,48.748487756348496,6.4,Tier 1 – Top
CUST_0002,548,2010441.94,150.66,24.67,146777485.11999997,49.42547888736912,6.6000000000000005,Tier 1 – Top
CUST_0365,517,1899159.2,147.39,25.42,148676644.31999996,50.064996950147,6.800000000000001,Tier 2 – Core
CUST_0241,473,1824275.85,151.53,25.2,150500920.16999996,50.67929898315428,7.000000000000001,Tier 2 – Core
CUST_0359,455,1699788.4,145.82,25.54,152200708.56999996,51.251681427290784,7.199999999999999,Tier 2 – Core
CUST_0053,479,1680711.54,143.29,24.73,153881420.10999995,51.81763997786898,7.3999999999999995,Tier 2 – Core
CUST_0179,457,1628578.41,135.57,25.5,155509998.51999995,52.36604335018505,7.6,Tier 2 – Core
CUST_0396,419,1616842.25,146.86,26.06,157126840.76999995,52.9104947176836,7.8,Tier 2 – Core
CUST_0257,430,1524977.13,149.53,23.64,158651817.89999995,53.424011657157756,8.0,Tier 2 – Core
CUST_0246,375,1434385.63,147.75,25.99,160086203.52999994,53.90702304418314,8.200000000000001,Tier 2 – Core
CUST_0113,404,1426965.07,143.24,25.09,161513168.59999993,54.38753565061346,8.4,Tier 2 – Core
CUST_0056,350,1311717.61,148.63,25.25,162824886.20999995,54.829240119021826,8.6,Tier 2 – Core
CUST_0243,334,1306521.78,150.37,25.72,164131407.98999995,55.26919495678514,8.799999999999999,Tier 2 – Core
CUST_0183,359,1295419.98,140.33,25.45,165426827.96999994,55.70541140251195,9.0,Tier 2 – Core
CUST_0044,330,1258004.89,152.09,25.25,166684832.85999992,56.129028785519075,9.2,Tier 2 – Core
CUST_0486,287,1201639.13,160.33,24.84,167886471.98999992,56.53366570514946,9.4,Tier 2 – Core
CUST_0274,313,1184998.06,147.23,25.19,169071470.04999992,56.932698952981845,9.6,Tier 2 – Core
CUST_0193,298,1182801.32,156.57,24.51,170254271.36999992,57.33099247614595,9.8,Tier 2 – Core
CUST_0402,276,1139640.07,161.11,25.71,171393911.4399999,57.714751989213866,10.0,Tier 2 – Core
CUST_0474,295,1120530.86,141.63,25.98,172514442.29999992,58.09207671526635,10.2,Tier 2 – Core
CUST_0409,291,1094172.84,144.28,24.95,173608615.13999993,58.460525708368664,10.4,Tier 2 – Core
CUST_0105,312,1079743.34,146.45,25.25,174688358.47999993,58.824115748157915,10.6,Tier 2 – Core
CUST_0368,309,1074454.86,146.99,23.81,175762813.33999994,59.18592495857561,10.8,Tier 2 – Core
CUST_0281,276,1068164.69,155.48,24.62,176830978.02999994,59.54561603306612,11.0,Tier 2 – Core
CUST_0151,279,1064812.33,149.73,24.76,177895790.35999995,59.904178242334105,11.200000000000001,Tier 2 – Core
CUST_0054,286,1058569.31,151.56,25.02,178954359.66999996,60.260638192846585,11.4,Tier 2 – Core
CUST_0198,284,1049518.77,148.0,25.07,180003878.43999997,60.61405048742381,11.600000000000001,Tier 2 – Core
CUST_0192,283,1033537.71,153.12,24.57,181037416.14999998,60.96208136030013,11.799999999999999,Tier 2 – Core
CUST_0119,280,990351.34,138.14,24.91,182027767.48999998,61.29556976423503,12.0,Tier 2 – Core
CUST_0454,293,968979.37,146.24,22.9,182996746.85999998,61.62186142507849,12.2,Tier 2 – Core
CUST_0122,235,963947.45,150.69,25.92,183960694.30999997,61.94645864991551,12.4,Tier 2 – Core
CUST_0204,283,961573.25,146.82,24.15,184922267.55999997,62.270256392652946,12.6,Tier 2 – Core
CUST_0406,264,953122.64,141.47,25.71,185875390.19999996,62.59120849836507,12.8,Tier 2 – Core
CUST_0089,245,938565.4,147.38,25.79,186813955.59999996,62.9072586359198,13.0,Tier 2 – Core
CUST_0265,240,905076.87,139.92,26.54,187719032.46999997,63.21203193063227,13.200000000000001,Tier 2 – Core
CUST_0199,261,889660.37,150.18,23.87,188608692.83999997,63.51161391214949,13.4,Tier 2 – Core
CUST_0490,251,885841.05,142.94,25.09,189494533.89,63.80990978551553,13.600000000000001,Tier 2 – Core
CUST_0229,224,880739.58,155.38,24.74,190375273.47,64.10648780278413,13.8,Tier 2 – Core
CUST_0468,208,859185.19,152.68,26.89,191234458.66,64.39580764931213,14.000000000000002,Tier 2 – Core
CUST_0250,203,839199.91,152.75,26.96,192073658.57,64.67839770322999,14.2,Tier 2 – Core
CUST_0116,228,837775.98,140.74,25.78,192911434.54999998,64.96050826656318,14.399999999999999,Tier 2 – Core
CUST_0273,213,817670.05,157.02,25.21,193729104.6,65.23584840991057,14.6,Tier 2 – Core
CUST_0428,205,778581.85,141.61,26.51,194507686.45,65.49802609171104,14.799999999999999,Tier 2 – Core
CUST_0166,198,777147.94,149.93,26.3,195284834.39,65.75972092228692,15.0,Tier 2 – Core
CUST_0184,216,767630.92,148.22,24.75,196052465.30999997,66.01821101563286,15.2,Tier 2 – Core
CUST_0081,218,761278.63,138.49,26.19,196813743.93999997,66.27456205492003,15.4,Tier 2 – Core
CUST_0008,216,750040.19,141.53,25.33,197563784.12999997,66.52712869036289,15.6,Tier 2 – Core
CUST_0397,209,735700.75,146.08,24.72,198299484.87999997,66.7748666990692,15.8,Tier 2 – Core
CUST_0128,194,725478.07,154.94,25.06,199024962.94999996,67.01916234838296,16.0,Tier 2 – Core
CUST_0337,195,723326.33,153.71,23.56,199748289.27999997,67.2627334262146,16.2,Tier 2 – Core
CUST_0377,185,705806.54,159.76,24.33,200454095.81999996,67.50040493429921,16.400000000000002,Tier 2 – Core
CUST_0384,199,697991.54,140.35,24.53,201152087.35999995,67.73544483906134,16.6,Tier 2 – Core
CUST_0253,181,686591.91,151.28,24.36,201838679.26999995,67.9666460612665,16.8,Tier 2 – Core
CUST_0352,176,664592.92,144.21,26.3,202503272.18999994,68.19043939925223,17.0,Tier 2 – Core
CUST_0013,174,663943.22,158.83,23.28,203167215.40999994,68.41401395890415,17.2,Tier 2 – Core
CUST_0063,184,649590.61,143.72,24.79,203816806.01999995,68.63275545698706,17.4,Tier 2 – Core
CUST_0220,165,638695.5,158.28,24.07,204455501.51999995,68.84782816330096,17.599999999999998,Tier 2 – Core
CUST_0438,166,638263.22,158.58,23.13,205093764.73999995,69.06275530474164,17.8,Tier 2 – Core
CUST_0293,167,634977.46,154.01,24.6,205728742.19999996,69.27657600767525,18.0,Tier 2 – Core
CUST_0074,164,618283.7,140.52,26.9,206347025.89999995,69.4847752961136,18.2,Tier 2 – Core
CUST_0404,178,608501.31,137.9,24.92,206955527.20999995,69.68968048729978,18.4,Tier 2 – Core
CUST_0187,159,596486.07,149.38,23.75,207552013.27999994,69.89053969697552,18.6,Tier 2 – Core
CUST_0114,160,594802.75,159.82,23.98,208146816.02999994,70.09083206973446,18.8,Tier 2 – Core
CUST_0127,146,590424.15,147.7,26.99,208737240.17999995,70.28965000381038,19.0,Tier 2 – Core
CUST_0390,164,574702.61,143.33,24.5,209311942.78999996,70.48317390629344,19.2,Tier 2 – Core
CUST_0399,135,567763.64,162.36,25.1,209879706.42999995,70.67436119757924,19.400000000000002,Tier 2 – Core
CUST_0200,142,565887.29,147.35,27.03,210445593.71999994,70.86491665151455,19.6,Tier 2 – Core
CUST_0271,150,565152.88,153.42,23.67,211010746.59999993,71.05522480208505,19.8,Tier 2 – Core
